TaxID,Chromosomes/INSDC,,
701177,CP001846.1,,
703352,CP001851.1,CP001852.1,
653045,CP002994.1,,
656519,CP002304.1,,
706191,CP001875.2,,
595537,CP002417.1,,
709986,CP002454.1,,
111781,CP003946.1,,
713604,CP002896.1,,
712898,CP002206.1,,
714359,CP001903.1,,
541229,CP001907.1,,
243365,AE016825.1,,
716541,CP001918.1,,
718274,AP011957.1,,
720555,CP002207.1,,
436717,CP002080.1,,
742013,CP002735.1,,
745776,CP002191.1,,
665029,FN434113.1,,
749414,CP002047.1,,
749927,CP002000.1,,
754035,CP003358.1,,
754503,CP003802.1,,
696281,CP002780.1,,
1198114,CP002480.1,,
682795,CP003130.1,,
757424,CP002039.1,,
566546,CP002185.1,,
759362,CP002018.1,,
759914,CP002025.1,,
760568,CP002770.1,,
762376,CP002287.1,,
743721,CP002446.1,,
765177,CP002363.1,,
401053,CP002467.1,,
765698,CP002447.1,,
765869,CP002190.1,,
766760,CP005965.1,,
762903,CP002545.1,,
768494,CP002091.1,,
743720,CP002727.1,,
856793,CP002382.1,,
858619,CP002917.1,,
690566,CP002798.1,CP002799.1,
860228,CP002113.1,,
861208,CP002249.1,CP002248.1,
862908,FQ312005.1,,
863638,CP002118.1,,
337191,CP002907.1,,
741091,CP002505.1,,
867900,CP002534.1,,
596154,CP002657.1,,
868595,CP002736.1,,
666685,CP003470.1,,
882,AE017285.1,,
215689,CP002124.1,,
871585,CP002177.1,,
743722,CP002584.1,,
877468,CP006631.1,,
880591,CP002224.1,,
228410,AL954747.1,,
886882,CP002213.1,,
885276,CP002211.1,,
886293,CP003364.1,,
887061,CP002252.1,,
378806,CP002271.1,,
690850,CP003221.1,,
243159,CP001219.1,,
710421,CP003053.1,,
666686,CP005586.1,,
877455,CP002551.1,,
701347,CP002272.1,,
857087,CP002738.1,,
868597,CP002986.1,,
269798,CP000383.1,,
931281,CP002290.1,,
717605,CP003255.1,,
272942,CP001312.1,,
909946,CP002487.1,,
269796,CP000230.1,,
767817,CP003273.1,,
710685,CP003169.1,,
644801,CP003071.1,,
771875,CP003260.1,,
929506,CP002410.1,,
929556,CP003349.1,,
930170,CP002508.1,,
768490,CP002774.1,,
768493,CP002775.1,,
768492,CP002773.1,,
930943,CP002426.1,,
930945,CP002425.1,,
930781,CP006046.1,,
930782,CP006047.1,,
931276,CP004121.1,,
931626,CP002987.1,,
670307,CP005587.1,,
756499,CP003348.1,,
936156,CP002468.1,,
937777,CP003382.1,,
941193,CP002496.1,,
941639,CP002472.1,,
743299,CP002985.1,,
871963,CP003344.1,,
945711,CP002790.1,,
945712,CP002791.1,,
646529,CP003639.1,,
754523,CP007045.1,,
566546,CP002967.1,,
981222,CP002514.1,CP002515.1,
768704,CP003629.1,,
984129,CP002557.1,,
676032,CP002558.1,,
985053,CP002529.1,,
373994,CP003549.1,,
529122,CP005935.1,,
990282,CP002614.1,,
991791,CP002660.1,,
991905,CP002568.1,,
443218,CP002786.1,,
760154,CP003333.1,,
926566,CP003379.1,,
996285,CP002622.1,,
997761,CP003422.2,,
999630,CP002590.1,,
999541,CP002600.1,CP002599.1,
999891,CP002627.1,,
1001582,CP002634.1,,
1001585,CP002620.1,,
243230,AE000513.1,AE001825.1,
1003195,FQ859185.1,,
1007064,CP002633.1,,
342949,CP002670.1,,
1005048,CP002745.1,,
1005058,CP002667.1,,
1006551,CP003218.1,,
1008297,CP003386.1,,
1010834,CP002871.1,,
1009846,CP003774.1,CP003775.1,
768706,CP003108.1,,
871738,CP007033.1,,
1030009,CP002816.1,,
1031711,CP002819.1,,
1032480,AP012204.1,,
1033813,CP002797.2,,
1034836,CP002927.1,,
1033991,CP007067.1,,
627192,AP012222.1,,
1034807,FQ859183.1,,
573569,CP002872.1,,
717785,FQ859181.1,,
1035377,CP002956.1,,
985665,CP003107.1,,
1036673,CP002869.1,,
1036672,CP003555.1,,
1037911,CP003041.1,,
1041826,CP003222.2,,
1042876,CP002870.1,,
1042878,CP002877.1,CP002878.1,
979982,CP002898.1,,
91891,FQ958211.1,,
91891,FQ958210.1,,
1045855,CP003093.2,,
1045856,CP002886.1,,
96563,CP002881.1,,
1048260,CP002919.1,,
1051632,CP002901.1,,
1052588,CP002906.1,,
1052585,CP002905.1,,
1053692,CP002913.1,,
1052004,CP003181.1,,
1069533,CP003295.1,,
1069642,CP002930.1,,
1006007,CP003017.1,,
720554,CP003065.1,,
1081093,CP003047.1,,
1041930,CP003243.1,,
1091041,CP004065.1,,
1093787,CP003149.1,,
222523,AE017194.1,,
1094980,CP003083.1,,
1095774,CP003085.1,,
1096995,CP003846.1,,
1096996,CP003847.1,,
1096997,CP003849.1,,
1097668,CP003088.1,CP003087.1,CP003089.1
1104325,CP004063.1,,
1104326,CP003678.1,,
224308,AL009126.3,,
1112204,CP003119.1,,
1114970,CP003150.1,,
134676,CP003170.1,,
272562,AE001437.1,,
1116391,CP003235.1,,
1117942,CP003385.1,,
933093,CP003192.1,,
1123519,CP003725.1,,
1123862,CP003999.1,,
1124983,CP003190.1,,
1124991,CP004345.1,,
1125630,CP003200.1,,
1126211,CP003332.1,,
1003195,CP003219.1,,
195102,BA000016.3,,
1127744,CP003492.1,,
416344,CP003515.1,CP003516.1,CP003514.1
1128398,CP003326.1,,
86416,CP003261.1,,
1131462,CP003870.1,,
1132507,CP003278.1,,
212717,AE015927.1,,
1133849,CP003876.1,,
1133850,CP003275.1,,
1136179,CP003761.1,,
1138382,CP003323.1,,
1138383,CP003324.1,,
487521,CP003322.1,,
1144275,CP003389.1,,
1147161,CP003329.1,,
1147129,CP003869.1,,
1150621,CP007201.1,,
265669,AE017262.2,,
1151116,CP003403.1,,
243243,CP000479.1,,
435998,CP003959.1,,
262316,AE016958.1,,
246196,CP000480.1,,
269800,CP000088.1,,
203267,AE014184.1,,
251221,BA000045.2,,
321314,AE017220.1,,
262698,AE017224.1,AE017223.1,
259536,CP000082.1,,
159087,CP000089.1,,
