TaxID,Chromosomes/RefSeq,,,,,,,,,,,,,
391165,NC_008343.1,,,,,,,,,,,,,
216596,NC_008380.1,,,,,,,,,,,,,
339670,NC_008392.1,NC_008390.1,NC_008391.1,,,,,,,,,,,
316055,NC_008435.1,,,,,,,,,,,,,
208963,NC_008463.1,,,,,,,,,,,,,
387344,NC_008497.1,,,,,,,,,,,,,
355276,NC_008508.1,NC_008509.1,,,,,,,,,,,,
355277,NC_008510.1,NC_008511.1,,,,,,,,,,,,
234267,NC_008536.1,,,,,,,,,,,,,
290399,NC_008541.1,,,,,,,,,,,,,
331272,NC_008543.1,NC_008542.1,NC_008544.1,,,,,,,,,,,
386043,NC_008555.1,,,,,,,,,,,,,
94122,NC_008577.1,,,,,,,,,,,,,
386415,NC_008593.1,,,,,,,,,,,,,
243243,NC_008595.1,,,,,,,,,,,,,
246196,NC_008596.1,,,,,,,,,,,,,
338966,NC_008609.1,,,,,,,,,,,,,
362242,NC_008611.1,,,,,,,,,,,,,
290317,NC_008639.1,,,,,,,,,,,,,
318586,NC_008687.1,NC_008686.1,,,,,,,,,,,,
196162,NC_008699.1,,,,,,,,,,,,,
326297,NC_008700.1,,,,,,,,,,,,,
62928,NC_008702.1,,,,,,,,,,,,,
189918,NC_008705.1,,,,,,,,,,,,,
314724,NC_008710.1,,,,,,,,,,,,,
290340,NC_008711.1,,,,,,,,,,,,,
351348,NC_008740.1,,,,,,,,,,,,,
397945,NC_008752.1,,,,,,,,,,,,,
365044,NC_008781.1,,,,,,,,,,,,,
232721,NC_008782.1,,,,,,,,,,,,,
391735,NC_008786.1,,,,,,,,,,,,,
349124,NC_008789.1,,,,,,,,,,,,,
393305,NC_008800.1,,,,,,,,,,,,,
420662,NC_008825.1,,,,,,,,,,,,,
203119,NC_009012.1,,,,,,,,,,,,,
349101,NC_009050.1,NC_009049.1,,,,,,,,,,,,
320373,NC_009075.1,NC_009074.1,,,,,,,,,,,,
164757,NC_009077.1,,,,,,,,,,,,,
357348,NC_009078.1,NC_009076.1,,,,,,,,,,,,
405948,NC_009142.1,,,,,,,,,,,,,
269482,NC_009254.1,NC_009256.1,NC_009255.1,,,,,,,,,,,
420246,NC_009328.1,,,,,,,,,,,,,
350054,NC_009338.1,,,,,,,,,,,,,
340322,NC_009342.1,,,,,,,,,,,,,
369723,NC_009380.1,,,,,,,,,,,,,
349102,NC_009428.1,,,,,,,,,,,,,
379731,NC_009434.1,,,,,,,,,,,,,
399742,NC_009436.1,,,,,,,,,,,,,
319224,NC_009438.1,,,,,,,,,,,,,
399739,NC_009439.1,,,,,,,,,,,,,
376686,NC_009441.1,,,,,,,,,,,,,
114615,NC_009445.1,,,,,,,,,,,,,
216389,NC_009455.1,,,,,,,,,,,,,
351160,NC_009464.1,,,,,,,,,,,,,
443906,NC_009480.1,,,,,,,,,,,,,
351605,NC_009483.1,,,,,,,,,,,,,
349163,NC_009484.1,,,,,,,,,,,,,
288000,NC_009485.1,,,,,,,,,,,,,
400673,NC_009494.2,,,,,,,,,,,,,
413999,NC_009495.1,,,,,,,,,,,,,
444178,NC_009504.1,NC_009505.1,,,,,,,,,,,,
392499,NC_009511.1,,,,,,,,,,,,,
351746,NC_009512.1,,,,,,,,,,,,,
420247,NC_009515.1,,,,,,,,,,,,,
349106,NC_009524.1,,,,,,,,,,,,,
336982,NC_009565.1,,,,,,,,,,,,,
402612,NC_009613.3,,,,,,,,,,,,,
290402,NC_009617.1,,,,,,,,,,,,,
366394,NC_009636.1,,,,,,,,,,,,,
272620,NC_009648.1,,,,,,,,,,,,,
400668,NC_009654.1,,,,,,,,,,,,,
381754,NC_009656.1,,,,,,,,,,,,,
375286,NC_009659.1,,,,,,,,,,,,,
266940,NC_009664.2,,,,,,,,,,,,,
439375,NC_009667.1,NC_009668.1,,,,,,,,,,,,
315749,NC_009674.1,,,,,,,,,,,,,
404589,NC_009675.1,,,,,,,,,,,,,
441771,NC_009698.1,,,,,,,,,,,,,
431943,NC_009706.1,,,,,,,,,,,,,
456442,NC_009712.1,,,,,,,,,,,,,
-,NC_009712.1,,,,,,,,,,,,,
360105,NC_009715.1,,,,,,,,,,,,,
78245,NC_009720.1,,,,,,,,,,,,,
326423,NC_009725.1,,,,,,,,,,,,,
290338,NC_009792.1,,,,,,,,,,,,,
360104,NC_009802.1,,,,,,,,,,,,,
399741,NC_009832.1,,,,,,,,,,,,,
315750,NC_009848.1,,,,,,,,,,,,,
298653,NC_009921.1,,,,,,,,,,,,,
96561,NC_009943.1,,,,,,,,,,,,,
391037,NC_009953.1,,,,,,,,,,,,,
316274,NC_009972.1,,,,,,,,,,,,,
357809,NC_010001.1,,,,,,,,,,,,,
398578,NC_010002.1,,,,,,,,,,,,,
395019,NC_010084.1,NC_010087.1,NC_010086.1,,,,,,,,,,,
483179,NC_010103.1,NC_010104.1,,,,,,,,,,,,
272568,NC_010125.1,,,,,,,,,,,,,
448385,NC_010162.1,,,,,,,,,,,,,
441768,NC_010163.1,,,,,,,,,,,,,
288705,NC_010168.1,,,,,,,,,,,,,
470137,NC_010169.1,NC_010167.1,,,,,,,,,,,,
94624,NC_010170.1,,,,,,,,,,,,,
419610,NC_010172.1,,,,,,,,,,,,,
315730,NC_010184.1,,,,,,,,,,,,,
399726,NC_010320.1,,,,,,,,,,,,,
340099,NC_010321.1,,,,,,,,,,,,,
76869,NC_010322.1,,,,,,,,,,,,,
484022,NC_010336.1,,,,,,,,,,,,,
498761,NC_010337.2,,,,,,,,,,,,,
366602,NC_010338.1,,,,,,,,,,,,,
444177,NC_010382.1,,,,,,,,,,,,,
477974,NC_010424.1,,,,,,,,,,,,,
502800,NC_010465.1,,,,,,,,,,,,,
481805,NC_010468.1,,,,,,,,,,,,,
316385,NC_010473.1,,,,,,,,,,,,,
390235,NC_010501.1,,,,,,,,,,,,,
426355,NC_010505.1,,,,,,,,,,,,,
-,NC_010508.1,,,,,,,,,,,,,
426117,NC_010511.1,,,,,,,,,,,,,
406425,NC_010515.1,NC_010508.1,NC_010512.1,,,,,,,,,,,
498213,NC_010516.1,,,,,,,,,,,,,
498214,NC_010520.1,,,,,,,,,,,,,
395495,NC_010524.1,,,,,,,,,,,,,
977880,NC_010530.1,NC_010528.1,,,,,,,,,,,,
398577,NC_010551.1,NC_010552.1,NC_010557.1,,,,,,,,,,,
529507,NC_010554.1,,,,,,,,,,,,,
262543,NC_010556.1,,,,,,,,,,,,,
452637,NC_010571.1,,,,,,,,,,,,,
455632,NC_010572.1,,,,,,,,,,,,,
405441,NC_010577.1,,,,,,,,,,,,,
395963,NC_010581.1,,,,,,,,,,,,,
456481,NC_010602.1,NC_010843.1,,,,,,,,,,,,
378753,NC_010617.1,,,,,,,,,,,,,
391038,NC_010622.1,NC_010623.1,,,,,,,,,,,,
63737,NC_010628.1,,,,,,,,,,,,,
502801,NC_010634.1,,,,,,,,,,,,,
398527,NC_010676.1,NC_010681.1,,,,,,,,,,,,
441952,NC_010677.1,,,,,,,,,,,,,
402626,NC_010678.1,NC_010682.1,,,,,,,,,,,,
340,NC_010688.1,,,,,,,,,,,,,
465817,NC_010694.1,,,,,,,,,,,,,
441620,NC_010725.1,,,,,,,,,,,,,
436114,NC_010730.1,,,,,,,,,,,,,
481448,NC_010794.1,,,,,,,,,,,,,
395019,NC_010805.1,NC_010801.1,NC_010804.1,,,,,,,,,,,
398767,NC_010814.1,,,,,,,,,,,,,
355278,NC_010842.1,NC_010845.1,,,,,,,,,,,,
522373,NC_010943.1,,,,,,,,,,,,,
491916,NC_010994.1,,,,,,,,,,,,,
498211,NC_010995.1,,,,,,,,,,,,,
395960,NC_011004.1,,,,,,,,,,,,,
391008,NC_011071.1,,,,,,,,,,,,,
423368,NC_011080.1,,,,,,,,,,,,,
454169,NC_011083.1,,,,,,,,,,,,,
439843,NC_011094.1,,,,,,,,,,,,,
447217,NC_011145.1,,,,,,,,,,,,,
404380,NC_011146.1,,,,,,,,,,,,,
454166,NC_011149.1,,,,,,,,,,,,,
439851,NC_011205.1,,,,,,,,,,,,,
272568,NC_011365.1,,,,,,,,,,,,,
395492,NC_011369.1,,,,,,,,,,,,,
504832,NC_011386.1,,,,,,,,,,,,,
405534,NC_011658.1,,,,,,,,,,,,,
552536,NC_011660.1,,,,,,,,,,,,,
85643,NC_011662.2,,,,,,,,,,,,,
395965,NC_011666.1,,,,,,,,,,,,,
405532,NC_011725.1,,,,,,,,,,,,,
41431,NC_011726.1,,,,,,,,,,,,,
65393,NC_011729.1,,,,,,,,,,,,,
440085,NC_011757.1,,,,,,,,,,,,,
243159,NC_011761.1,,,,,,,,,,,,,
883,NC_011769.1,,,,,,,,,,,,,
557722,NC_011770.1,,,,,,,,,,,,,
-,NC_011770.1,,,,,,,,,,,,,
405531,NC_011772.1,,,,,,,,,,,,,
405535,NC_011773.1,,,,,,,,,,,,,
272564,NC_011830.1,,,,,,,,,,,,,
521011,NC_011832.1,,,,,,,,,,,,,
583346,NC_011837.1,,,,,,,,,,,,,
557723,NC_011852.1,,,,,,,,,,,,,
395961,NC_011884.1,,,,,,,,,,,,,
452863,NC_011886.1,,,,,,,,,,,,,
455488,NC_011891.1,,,,,,,,,,,,,
460265,NC_011894.1,,,,,,,,,,,,,
394503,NC_011898.1,,,,,,,,,,,,,
565050,NC_011916.1,,,,,,,,,,,,,
557760,NC_011958.1,NC_011963.1,,,,,,,,,,,,
361100,NC_011969.1,,,,,,,,,,,,,
316067,NC_011979.1,,,,,,,,,,,,,
311403,NC_011985.1,NC_011983.1,,,,,,,,,,,,
311402,NC_011988.1,NC_011989.1,,,,,,,,,,,,
535289,NC_011992.1,,,,,,,,,,,,,
218495,NC_012004.1,,,,,,,,,,,,,
306263,NC_012039.1,,,,,,,,,,,,,
-,NC_012039.1,,,,,,,,,,,,,
561275,NC_012207.1,,,,,,,,,,,,,
634499,NC_012214.1,,,,,,,,,,,,,
204536,NC_012438.1,,,,,,,,,,,,,
572264,NC_012472.1,,,,,,,,,,,,,
240015,NC_012483.1,,,,,,,,,,,,,
568819,NC_012488.1,,,,,,,,,,,,,
379066,NC_012489.1,,,,,,,,,,,,,
358681,NC_012491.1,,,,,,,,,,,,,
632772,NC_012522.1,,,,,,,,,,,,,
546414,NC_012526.1,,,,,,,,,,,,,
322710,NC_012560.1,,,,,,,,,,,,,
536232,NC_012563.1,,,,,,,,,,,,,
568206,NC_012581.1,,,,,,,,,,,,,
394,NC_012587.1,,,,,,,,,,,,,
427318,NC_012632.1,,,,,,,,,,,,,
515621,NC_012658.1,,,,,,,,,,,,,
592021,NC_012659.1,,,,,,,,,,,,,
216595,NC_012660.1,,,,,,,,,,,,,
471853,NC_012669.1,,,,,,,,,,,,,
360911,NC_012673.1,,,,,,,,,,,,,
626418,NC_012724.2,NC_012721.2,,,,,,,,,,,,
426118,NC_012726.1,,,,,,,,,,,,,
484021,NC_012731.1,,,,,,,,,,,,,
515620,NC_012778.1,,,,,,,,,,,,,
543728,NC_012792.1,NC_012791.1,,,,,,,,,,,,
573370,NC_012796.1,,,,,,,,,,,,,
465515,NC_012803.1,,,,,,,,,,,,,
395491,NC_012850.1,,,,,,,,,,,,,
428406,NC_012856.1,NC_012857.1,,,,,,,,,,,,
526222,NC_012881.1,,,,,,,,,,,,,
469008,NC_012892.2,,,,,,,,,,,,,
561229,NC_012912.1,,,,,,,,,,,,,
324057,NC_012914.1,,,,,,,,,,,,,
561230,NC_012917.1,,,,,,,,,,,,,
443144,NC_012918.1,,,,,,,,,,,,,
568814,NC_012926.1,,,,,,,,,,,,,
866768,NC_012947.1,,,,,,,,,,,,,
413997,NC_012967.1,,,,,,,,,,,,,
469008,NC_012971.2,,,,,,,,,,,,,
661410,NC_012988.1,,,,,,,,,,,,,
662598,NC_013016.1,,,,,,,,,,,,,
485917,NC_013061.1,,,,,,,,,,,,,
531844,NC_013062.1,,,,,,,,,,,,,
559295,NC_013077.1,NC_013078.1,NC_013079.1,NC_013080.1,NC_013081.1,NC_013082.1,NC_013083.1,NC_013084.1,,,,,,
568815,NC_013118.1,NC_013119.1,,,,,,,,,,,,
479433,NC_013131.1,,,,,,,,,,,,,
485918,NC_013132.1,,,,,,,,,,,,,
471857,NC_013159.1,,,,,,,,,,,,,
395962,NC_013161.1,,,,,,,,,,,,,
446465,NC_013172.1,,,,,,,,,,,,,
525897,NC_013173.1,,,,,,,,,,,,,
522306,NC_013194.1,,,,,,,,,,,,,
485914,NC_013202.1,,,,,,,,,,,,,
634452,NC_013209.1,,,,,,,,,,,,,
622759,NC_013355.1,,,,,,,,,,,,,
481743,NC_013406.1,,,,,,,,,,,,,
561231,NC_013421.1,,,,,,,,,,,,,
543891,NC_013446.2,,,,,,,,,,,,,
471852,NC_013510.1,,,,,,,,,,,,,
525898,NC_013512.1,,,,,,,,,,,,,
525904,NC_013526.1,NC_013525.1,,,,,,,,,,,,
446471,NC_013530.1,,,,,,,,,,,,,
-,NC_013530.1,,,,,,,,,,,,,
311424,NC_013552.1,,,,,,,,,,,,,
590409,NC_013592.1,,,,,,,,,,,,,
479432,NC_013595.1,,,,,,,,,,,,,
304371,NC_013665.1,,,,,,,,,,,,,
380358,NC_013722.1,,,,,,,,,,,,,
479435,NC_013729.1,,,,,,,,,,,,,
504472,NC_013730.1,,,,,,,,,,,,,
469383,NC_013739.1,,,,,,,,,,,,,
543526,NC_013743.1,,,,,,,,,,,,,
526225,NC_013757.1,,,,,,,,,,,,,
653938,NC_013766.2,NC_013766.2,,,,,,,,,,,,
637381,NC_013768.1,,,,,,,,,,,,,
398511,NC_013791.2,,,,,,,,,,,,,
608538,NC_013799.1,,,,,,,,,,,,,
640131,NC_013850.1,,,,,,,,,,,,,
137722,NC_013854.1,,,,,,,,,,,,,
661367,NC_013861.1,,,,,,,,,,,,,
633145,NC_013890.1,,,,,,,,,,,,,
683837,NC_013891.1,,,,,,,,,,,,,
406818,NC_013892.1,,,,,,,,,,,,,
580331,NC_013921.1,,,,,,,,,,,,,
680198,NC_013929.1,,,,,,,,,,,,,
701177,NC_013941.1,,,,,,,,,,,,,
522772,NC_013943.1,,,,,,,,,,,,,
446470,NC_013947.1,,,,,,,,,,,,,
706191,NC_013956.2,,,,,,,,,,,,,
665029,NC_013961.1,,,,,,,,,,,,,
309800,NC_013967.1,,,,,,,,,,,,,
716540,NC_013971.1,,,,,,,,,,,,,
240292,NC_014000.1,NC_007413.1,,,,,,,,,,,,
547558,NC_014002.1,,,,,,,,,,,,,
452662,NC_014013.1,NC_014006.1,,,,,,,,,,,,
545693,NC_014019.1,,,,,,,,,,,,,
272942,NC_014034.1,,,,,,,,,,,,,
509190,NC_014100.1,,,,,,,,,,,,,
592022,NC_014103.1,,,,,,,,,,,,,
640511,NC_014117.1,NC_014118.1,NC_014119.1,,,,,,,,,,,
716541,NC_014121.1,,,,,,,,,,,,,
423212,NC_014125.1,,,,,,,,,,,,,
426114,NC_014145.1,,,,,,,,,,,,,
446466,NC_014151.1,,,,,,,,,,,,,
75379,NC_014153.1,,,,,,,,,,,,,
521096,NC_014158.1,,,,,,,,,,,,,
572480,NC_014166.1,,,,,,,,,,,,,
714359,NC_014171.1,,,,,,,,,,,,,
446468,NC_014210.1,NC_014211.1,,,,,,,,,,,,
754252,NC_014215.1,,,,,,,,,,,,,
639283,NC_014217.1,,,,,,,,,,,,,
406817,NC_014228.1,,,,,,,,,,,,,
551115,NC_014248.1,,,,,,,,,,,,,
436717,NC_014259.1,,,,,,,,,,,,,
634500,NC_014306.1,,,,,,,,,,,,,
859656,NC_014307.1,,,,,,,,,,,,,
859657,NC_014311.1,,,,,,,,,,,,,
582899,NC_014313.1,,,,,,,,,,,,,
552811,NC_014314.1,,,,,,,,,,,,,
749927,NC_014318.1,,,,,,,,,,,,,
762550,NC_014319.1,,,,,,,,,,,,,
757424,NC_014323.1,,,,,,,,,,,,,
748727,NC_014328.1,,,,,,,,,,,,,
759914,NC_014330.1,,,,,,,,,,,,,
637380,NC_014335.1,,,,,,,,,,,,,
573413,NC_014364.1,,,,,,,,,,,,,
644282,NC_014365.1,,,,,,,,,,,,,
644283,NC_014391.1,,,,,,,,,,,,,
573061,NC_014393.1,,,,,,,,,,,,,
395494,NC_014394.1,,,,,,,,,,,,,
655816,NC_014479.1,,,,,,,,,,,,,
349520,NC_014483.1,,,,,,,,,,,,,
198628,NC_014500.1,,,,,,,,,,,,,
497965,NC_014501.1,,,,,,,,,,,,,
679926,NC_014507.1,,,,,,,,,,,,,
768066,NC_014532.1,,,,,,,,,,,,,
573062,NC_014538.1,,,,,,,,,,,,,
640512,NC_014539.1,NC_014540.1,,,,,,,,,,,,
692420,NC_014551.1,,,,,,,,,,,,,
712898,NC_014562.1,,,,,,,,,,,,,
1511,NC_014614.1,,,,,,,,,,,,,
701347,NC_014618.1,,,,,,,,,,,,,
886882,NC_014622.1,,,,,,,,,,,,,
378806,NC_014623.1,,,,,,,,,,,,,
880591,NC_014625.1,,,,,,,,,,,,,
572544,NC_014632.1,,,,,,,,,,,,,
720555,NC_014639.1,,,,,,,,,,,,,
762376,NC_014640.1,,,,,,,,,,,,,
656519,NC_014654.1,,,,,,,,,,,,,
649349,NC_014655.1,,,,,,,,,,,,,
523846,NC_014658.1,,,,,,,,,,,,,
685727,NC_014659.1,,,,,,,,,,,,,
298654,NC_014666.1,,,,,,,,,,,,,
882378,NC_014722.1,,,,,,,,,,,,,
887061,NC_014733.1,,,,,,,,,,,,,
694427,NC_014734.1,,,,,,,,,,,,,
278137,NC_014814.1,,,,,,,,,,,,,
648999,NC_014815.1,,,,,,,,,,,,,
573065,NC_014816.1,NC_014817.1,,,,,,,,,,,,
649639,NC_014829.1,,,,,,,,,,,,,
644966,NC_014831.1,,,,,,,,,,,,,
697329,NC_014833.1,,,,,,,,,,,,,
652103,NC_014834.1,,,,,,,,,,,,,
592316,NC_014837.1,,,,,,,,,,,,,
643562,NC_014844.1,,,,,,,,,,,,,
596153,NC_014910.1,,,,,,,,,,,,,
765698,NC_014923.1,,,,,,,,,,,,,
743721,NC_014924.1,,,,,,,,,,,,,
595537,NC_014931.1,,,,,,,,,,,,,
709986,NC_014958.1,,,,,,,,,,,,,
765177,NC_014961.1,,,,,,,,,,,,,
401053,NC_014963.1,,,,,,,,,,,,,
577650,NC_014972.1,,,,,,,,,,,,,
443143,NC_014973.1,,,,,,,,,,,,,
936156,NC_014976.1,,,,,,,,,,,,,
741091,NC_015061.1,,,,,,,,,,,,,
1198114,NC_015064.1,,,,,,,,,,,,,
640510,NC_015137.1,NC_015136.1,,,,,,,,,,,,
643561,NC_015138.1,,,,,,,,,,,,,
930171,NC_015145.1,,,,,,,,,,,,,
985053,NC_015151.1,,,,,,,,,,,,,
693977,NC_015161.1,,,,,,,,,,,,,
867900,NC_015167.1,,,,,,,,,,,,,
762903,NC_015177.1,,,,,,,,,,,,,
926570,NC_015186.1,,,,,,,,,,,,,
877455,NC_015216.1,,,,,,,,,,,,,
153948,NC_015222.1,,,,,,,,,,,,,
991905,NC_015259.1,,,,,,,,,,,,,
743722,NC_015277.1,,,,,,,,,,,,,
675635,NC_015312.1,,,,,,,,,,,,,
999630,NC_015315.1,,,,,,,,,,,,,
