RefSoil_ID	NCBI_Accession_Number	RAST_ID
NC_009524	NC_009524.1	349106.14
NC_009565	NC_009565.1	336982.15
NC_009617	NC_009617.1	290402.63
NC_009648	NC_009648.1	272620.38
NC_009654	NC_009654.1	400668.12
NC_009659	NC_009659.1	375286.14
NC_009664	NC_009664.2	266940.22
NC_009667	NC_009667.1	439375.47
NC_009667	NC_009668.1	439375.46
NC_009674	NC_009674.1	315749.17
NC_009675	NC_009675.1	404589.15
NC_009698	NC_009698.1	441771.17
NC_009706	NC_009706.1	431943.15
NC_009712	NC_009712.1	456442.26
NC_009715	NC_009715.1	360105.14
NC_009720	NC_009720.1	78245.18
NC_009725	NC_009725.1	326423.44
NC_009792	NC_009792.1	290338.17
NC_009802	NC_009802.1	360104.28
NC_009832	NC_009832.1	399741.16
NC_009848	NC_009848.2	315750.19
NC_009943	NC_009943.1	96561.1
NC_009953	NC_009953.1	391037.13
NC_010001	NC_010001.1	357809.2
NC_010002	NC_010002.1	398578.11
NC_010084	NC_010084.1	395019.38
NC_010084	NC_010086.1	395019.39
NC_010084	NC_010087.1	395019.4
NC_010103	NC_010103.1	483179.13
NC_010103	NC_010104.1	483179.12
NC_010162	NC_010162.1	448385.27
NC_010163	NC_010163.1	441768.23
NC_010169	NC_010167.1	470137.12
NC_010168	NC_010168.1	288705.23
NC_010169	NC_010169.1	470137.11
NC_010170	NC_010170.1	94624.12
NC_010172	NC_010172.1	419610.15
NC_010184	NC_010184.1	315730.84
NC_010320	NC_010320.1	399726.11
NC_010321	NC_010321.1	340099.11
NC_010322	NC_010322.1	76869.15
NC_010336	NC_010336.1	484022.14
NC_010337	NC_010337.2	498761.1
NC_010338	NC_010338.1	366602.12
NC_010424	NC_010424.1	477974.14
NC_010465	NC_010465.1	502800.12
NC_010468	NC_010468.1	481805.14
NC_010473	NC_010473.1	316385.4
NC_010501	NC_010501.1	390235.11
NC_010505	NC_010505.1	426355.36
NC_010508	NC_010508.1	406425.19
NC_010511	NC_010511.1	426117.13
NC_010508	NC_010512.1	406425.2
NC_010508	NC_010515.1	406425.18
NC_010516	NC_010516.1	498213.16
NC_010520	NC_010520.1	498214.16
NC_010524	NC_010524.1	395495.9
NC_010528	NC_010528.1	977880.19
NC_010528	NC_010530.1	977880.18
NC_010551	NC_010551.1	398577.22
NC_010551	NC_010552.1	398577.23
NC_010554	NC_010554.1	529507.17
NC_010556	NC_010556.1	262543.28
NC_010551	NC_010557.1	398577.21
NC_010571	NC_010571.1	452637.14
NC_010572	NC_010572.1	455632.24
NC_010577	NC_010577.1	405441.17
NC_010581	NC_010581.1	395963.2
NC_010602	NC_010602.1	456481.17
NC_010617	NC_010617.1	378753.14
NC_010622	NC_010622.1	391038.25
NC_010622	NC_010623.1	391038.26
NC_010628	NC_010628.1	63737.27
NC_010634	NC_010634.1	502801.11
NC_010681	NC_010676.1	398527.23
NC_010677	NC_010677.1	441952.9
NC_010682	NC_010678.1	402626.2
NC_010681	NC_010681.1	398527.22
NC_010682	NC_010682.1	402626.21
NC_010688	NC_010688.1	340.19
NC_010694	NC_010694.1	465817.21
NC_010725	NC_010725.1	441620.17
NC_010730	NC_010730.1	436114.7
NC_010794	NC_010794.1	481448.16
NC_010814	NC_010814.1	398767.11
NC_010842	NC_010842.1	355278.19
NC_010602	NC_010843.1	456481.16
NC_010842	NC_010845.1	355278.18
NC_010943	NC_010943.1	522373.3
NC_010994	NC_010994.1	491916.35
NC_010995	NC_010995.1	498211.12
NC_011004	NC_011004.1	395960.13
NC_011071	NC_011071.1	391008.14
NC_011080	NC_011080.1	423368.26
NC_011083	NC_011083.1	454169.2
NC_011094	NC_011094.1	439843.22
NC_011145	NC_011145.1	447217.11
NC_011146	NC_011146.1	404380.8
NC_011149	NC_011149.1	454166.2
NC_011205	NC_011205.1	439851.34
NC_011365	NC_011365.1	272568.3
NC_011369	NC_011369.1	395492.29
NC_011658	NC_011658.1	405534.16
NC_011660	NC_011660.1	552536.12
NC_011662	NC_011662.2	85643.12
NC_011666	NC_011666.1	395965.15
NC_011725	NC_011725.1	405532.12
NC_011726	NC_011726.1	41431.17
NC_011729	NC_011729.1	65393.21
NC_011757	NC_011757.1	440085.12
NC_011761	NC_011761.1	243159.23
NC_011769	NC_011769.1	883.12
NC_011770	NC_011770.1	557722.13
NC_011772	NC_011772.1	405531.14
NC_011773	NC_011773.1	405535.15
NC_011830	NC_011830.1	272564.12
NC_011832	NC_011832.1	521011.15
NC_011837	NC_011837.1	583346.13
NC_011852	NC_011852.1	557723.12
NC_011884	NC_011884.1	395961.18
NC_011886	NC_011886.1	452863.34
NC_011891	NC_011891.1	455488.11
NC_011894	NC_011894.1	460265.33
NC_011898	NC_011898.1	394503.2
NC_011963	NC_011958.1	557760.18
NC_011963	NC_011963.1	557760.17
NC_011969	NC_011969.1	361100.16
NC_011979	NC_011979.1	316067.8
NC_011985	NC_011983.1	311403.25
NC_011985	NC_011985.1	311403.26
NC_011989	NC_011988.1	311402.26
NC_011989	NC_011989.1	311402.27
NC_011992	NC_011992.1	535289.17
NC_012004	NC_012004.1	218495.71
NC_012039	NC_012039.1	306263.13
NC_012207	NC_012207.1	561275.18
NC_012214	NC_012214.1	634499.15
NC_012438	NC_012438.1	204536.9
NC_012472	NC_012472.1	572264.19
NC_012483	NC_012483.1	240015.23
NC_012488	NC_012488.1	568819.13
NC_012489	NC_012489.1	379066.13
NC_012491	NC_012491.1	358681.15
NC_012522	NC_012522.1	632772.21
NC_012526	NC_012526.1	546414.9
NC_012560	NC_012560.1	322710.19
NC_012563	NC_012563.1	536232.14
NC_012632	NC_012632.1	427318.15
NC_012658	NC_012658.1	515621.9
NC_012659	NC_012659.1	592021.26
NC_012660	NC_012660.1	216595.23
NC_012669	NC_012669.1	471853.16
NC_012673	NC_012673.1	360911.15
NC_012724	NC_012721.2	626418.2
NC_012724	NC_012724.2	626418.21
NC_012726	NC_012726.1	426118.14
NC_012731	NC_012731.1	484021.61
NC_012778	NC_012778.1	515620.11
NC_012791	NC_012791.1	543728.16
NC_012791	NC_012792.1	543728.15
NC_012796	NC_012796.1	573370.19
NC_012803	NC_012803.1	465515.32
NC_012850	NC_012850.1	395491.85
NC_012856	NC_012856.1	428406.26
NC_012856	NC_012857.1	428406.25
NC_012881	NC_012881.1	526222.12
NC_012917	NC_012917.1	561230.21
NC_012918	NC_012918.1	443144.8
NC_012947	NC_012947.1	866768.7
NC_012967	NC_012967.1	413997.14
NC_012971	NC_012971.2	469008.34
NC_012988	NC_012988.1	661410.1
NC_013016	NC_013016.1	662598.14
NC_013061	NC_013061.1	485917.14
NC_013062	NC_013062.1	531844.12
NC_013119	NC_013118.1	568815.26
NC_013119	NC_013119.1	568815.25
NC_013131	NC_013131.1	479433.15
NC_013132	NC_013132.1	485918.14
NC_013159	NC_013159.1	471857.13
NC_013161	NC_013161.1	395962.14
NC_013173	NC_013173.1	525897.11
NC_013194	NC_013194.1	522306.32
NC_013202	NC_013202.1	485914.16
NC_013209	NC_013209.1	634452.17
NC_013355	NC_013355.1	622759.11
NC_013421	NC_013421.1	561231.14
NC_013446	NC_013446.2	688245.25
NC_013510	NC_013510.1	471852.14
NC_013512	NC_013512.1	525898.15
NC_013525	NC_013525.1	525904.13
NC_013525	NC_013526.1	525904.14
NC_013530	NC_013530.1	446471.12
NC_013552	NC_013552.1	311424.13
NC_013592	NC_013592.1	590409.12
NC_013595	NC_013595.1	479432.12
NC_013722	NC_013722.1	380358.9
NC_013729	NC_013729.1	479435.1
NC_013743	NC_013743.1	543526.19
NC_013766	NC_013766.2	653938.14
NC_013768	NC_013768.1	637381.8
NC_013791	NC_013791.2	398511.15
NC_013850	NC_013850.1	640131.14
NC_013854	NC_013854.1	137722.15
NC_013861	NC_013861.1	661367.27
NC_013890	NC_013890.1	633145.1
NC_013891	NC_013891.1	683837.9
NC_013892	NC_013892.1	406818.11
NC_013921	NC_013921.1	580331.1
NC_013929	NC_013929.1	680198.28
NC_013941	NC_013941.1	701177.14
NC_013943	NC_013943.1	522772.11
NC_013947	NC_013947.1	446470.11
NC_013961	NC_013961.1	665029.1
NC_013967	NC_013967.1	309800.35
NC_013971	NC_013971.1	716540.11
NC_014000	NC_014000.1	240292.39
NC_014002	NC_014002.1	547558.22
NC_014006	NC_014006.1	452662.28
NC_014006	NC_014013.1	452662.27
NC_014019	NC_014019.1	545693.18
NC_014034	NC_014034.1	272942.26
NC_014100	NC_014100.1	509190.1
NC_014103	NC_014103.1	592022.21
NC_014117	NC_014117.1	640511.29
NC_014117	NC_014118.1	640511.28
NC_014117	NC_014119.1	640511.27
NC_014125	NC_014125.1	423212.7
NC_014145	NC_014145.1	426114.11
NC_014151	NC_014151.1	446466.12
NC_014153	NC_014153.1	75379.7
NC_014158	NC_014158.1	521096.13
NC_014166	NC_014166.1	572480.13
NC_014171	NC_014171.1	714359.21
NC_014210	NC_014210.1	446468.22
NC_014210	NC_014211.1	446468.21
NC_014215	NC_014215.1	754252.31
NC_014217	NC_014217.1	639283.8
NC_014228	NC_014228.1	406817.28
NC_014259	NC_014259.1	436717.1
NC_014307	NC_014307.1	859656.12
NC_014311	NC_014311.1	859657.9
NC_014313	NC_014313.1	582899.12
NC_014314	NC_014314.1	552811.21
NC_014319	NC_014319.1	762550.8
NC_014328	NC_014328.1	748727.18
NC_014330	NC_014330.1	759914.11
NC_014364	NC_014364.1	573413.14
NC_014365	NC_014365.1	644282.11
NC_014393	NC_014393.1	573061.1
NC_014394	NC_014394.1	395494.1
NC_014479	NC_014479.1	655816.15
NC_014483	NC_014483.2	349520.21
NC_014500	NC_014500.1	198628.27
NC_014501	NC_014501.1	497965.11
NC_014507	NC_014507.1	679926.1
NC_014532	NC_014532.1	768066.17
NC_014538	NC_014538.1	573062.9
NC_014551	NC_014551.1	692420.18
NC_014614	NC_014614.1	1511.6
NC_014618	NC_014618.1	701347.2
NC_014622	NC_014622.2	886882.17
NC_014623	NC_014623.1	378806.18
NC_014625	NC_014625.1	880591.1
NC_014632	NC_014632.1	572544.9
NC_014639	NC_014639.1	720555.9
NC_014640	NC_014640.1	762376.29
NC_014654	NC_014654.1	656519.8
NC_014655	NC_014655.1	649349.8
NC_014658	NC_014658.1	523846.13
NC_014659	NC_014659.1	685727.37
NC_014666	NC_014666.1	298654.12
NC_014722	NC_014722.1	882378.17
NC_014733	NC_014733.1	887061.11
NC_014734	NC_014734.1	694427.11
NC_014815	NC_014815.1	648999.13
NC_014816	NC_014816.1	573065.14
NC_014816	NC_014817.1	573065.15
NC_014829	NC_014829.1	649639.1
NC_014831	NC_014831.1	644966.7
NC_014833	NC_014833.1	697329.29
NC_014834	NC_014834.1	652103.13
NC_014844	NC_014844.1	643562.15
NC_014910	NC_014910.1	596153.8
NC_014924	NC_014924.1	743721.8
NC_014958	NC_014958.1	709986.6
NC_014961	NC_014961.1	765177.29
NC_014963	NC_014963.1	401053.9
NC_014972	NC_014972.1	577650.17
NC_014973	NC_014973.1	443143.7
NC_014976	NC_014976.1	936156.17
NC_015061	NC_015061.1	741091.9
NC_015136	NC_015136.1	640510.18
NC_015136	NC_015137.1	640510.17
NC_015145	NC_015145.1	930171.19
NC_015151	NC_015151.1	985053.17
NC_015161	NC_015161.1	693977.9
NC_015167	NC_015167.1	867900.8
NC_015177	NC_015177.1	762903.9
NC_015216	NC_015216.1	877455.1
NC_015222	NC_015222.1	153948.9
NC_015312	NC_015312.1	675635.22
NC_015315	NC_015315.1	999630.11
NC_015381	NC_015376.1	999541.18
NC_015379	NC_015379.1	994484.11
NC_015381	NC_015381.1	999541.19
NC_015425	NC_015425.1	929506.15
NC_015433	NC_015433.1	1007064.8
NC_015460	NC_015460.1	1005058.9
NC_015474	NC_015474.1	342949.12
NC_015520	NC_015520.1	697281.7
NC_015563	NC_015563.1	742013.7
NC_015565	NC_015565.1	868595.8
NC_015567	NC_015567.1	768492.14
NC_015573	NC_015573.1	760568.7
NC_015577	NC_015577.1	545695.1
NC_015578	NC_015578.1	545694.11
NC_015580	NC_015580.1	702113.13
NC_015589	NC_015589.1	696281.11
NC_015590	NC_015590.1	693982.23
NC_015590	NC_015591.1	693982.24
NC_015593	NC_015593.1	690566.11
NC_015593	NC_015594.1	690566.1
NC_015590	NC_015596.1	693982.25
NC_015601	NC_015601.1	650150.8
NC_015634	NC_015634.1	941639.14
NC_015635	NC_015635.1	1032480.8
NC_015656	NC_015656.1	656024.11
NC_015675	NC_015675.1	536019.9
NC_015676	NC_015676.1	679901.12
NC_015677	NC_015677.1	365046.11
NC_015683	NC_015683.1	945712.11
NC_015684	NC_015684.1	504832.15
NC_015687	NC_015687.1	991791.9
NC_015690	NC_015690.1	1036673.11
NC_015696	NC_015696.1	573569.7
NC_015707	NC_015707.1	688269.8
NC_015717	NC_015717.1	717785.8
NC_015726	NC_015723.1	1042878.35
NC_015726	NC_015726.1	1042878.34
NC_015733	NC_015733.1	1042876.14
NC_015734	NC_015734.1	979982.6
NC_015758	NC_015758.1	572418.13
NC_015846	NC_015846.1	860228.9
NC_015847	NC_015847.1	1053692.11
NC_015856	NC_015856.1	1005048.16
NC_015857	NC_015857.1	520461.13
NC_015857	NC_015858.1	520461.14
NC_015859	NC_015859.1	858619.9
NC_015942	NC_015942.1	743299.18
NC_015947	NC_015947.1	868597.13
NC_015953	NC_015953.1	862751.17
NC_015957	NC_015957.1	653045.17
NC_015976	NC_015976.1	627192.15
NC_016001	NC_016001.1	1034807.13
NC_016002	NC_016002.1	748280.7
NC_016023	NC_016023.1	345219.35
NC_016024	NC_016024.1	981222.17
NC_016024	NC_016025.1	981222.18
NC_016026	NC_016026.1	856793.13
NC_016047	NC_016047.1	1052585.14
NC_016070	NC_016070.1	768679.15
NC_016109	NC_016109.1	452652.9
NC_016111	NC_016111.1	1003195.35
NC_016114	NC_016114.1	591167.19
NC_016147	NC_016147.2	1045855.7
NC_016148	NC_016148.1	580340.14
NC_016510	NC_016510.2	1041826.26
NC_016514	NC_016514.1	1045856.11
NC_016582	NC_016582.1	749414.17
NC_016584	NC_016584.1	768706.9
NC_016589	NC_016589.1	1097668.25
NC_016589	NC_016590.1	1097668.26
NC_016604	NC_016604.1	710685.1
NC_016609	NC_016609.1	700598.1
NC_016612	NC_016612.1	1006551.18
NC_016616	NC_016616.1	640081.6
NC_016617	NC_016617.1	1064539.12
NC_016620	NC_016620.1	862908.7
NC_016622	NC_016622.1	862719.1
NC_016589	NC_016625.1	1097668.24
NC_016627	NC_016627.1	720554.7
NC_016629	NC_016629.1	690850.1
NC_016631	NC_016631.1	682795.9
NC_016641	NC_016641.1	985665.8
NC_016771	NC_016771.1	334406.11
NC_016779	NC_016779.1	347495.9
NC_016784	NC_016784.1	1114958.11
NC_016790	NC_016790.1	698971.7
NC_016800	NC_016800.1	698973.7
NC_016801	NC_016801.1	698963.1
NC_016811	NC_016811.1	933093.7
NC_016812	NC_016812.1	1117943.27
NC_016816	NC_016816.1	1123863.19
NC_016826	NC_016826.1	1069533.21
NC_016830	NC_016830.1	1114970.22
NC_016831	NC_016831.1	1081093.7
NC_016832	NC_016832.1	1132507.9
NC_016854	NC_016854.1	568708.23
NC_016856	NC_016856.1	588858.39
NC_016857	NC_016857.1	909946.17
NC_016860	NC_016860.1	718274.15
NC_016863	NC_016863.1	990282.13
NC_016887	NC_016887.1	1127134.7
NC_016894	NC_016894.1	931626.14
NC_016906	NC_016906.1	1112204.7
NC_016935	NC_016935.1	1116391.6
NC_016943	NC_016943.1	1146883.11
NC_016946	NC_016946.1	487521.11
NC_016947	NC_016947.1	1138382.8
NC_016948	NC_016948.1	1138383.8
NC_017030	NC_017030.1	1144275.8
NC_017031	NC_017031.1	1117942.6
NC_017034	NC_017034.1	1041930.1
NC_017046	NC_017046.1	1008297.11
NC_017047	NC_017047.1	1151116.7
NC_017059	NC_017059.1	1150469.6
NC_017061	NC_017061.1	1155777.8
NC_017082	NC_017082.1	335659.11
NC_017093	NC_017093.1	512565.1
NC_017094	NC_017094.1	1162668.1
NC_017095	NC_017095.1	771875.1
NC_017100	NC_017100.1	634453.8
NC_017108	NC_017108.1	634459.6
NC_017111	NC_017111.1	634457.6
NC_017121	NC_017121.1	634454.8
NC_017125	NC_017125.1	634455.7
NC_017146	NC_017146.1	634456.6
NC_017150	NC_017150.1	634458.7
NC_017161	NC_017161.1	608538.12
NC_017168	NC_017168.1	1035377.1
NC_017188	NC_017188.1	999891.7
NC_017190	NC_017190.1	1001582.7
NC_017191	NC_017191.1	1034836.9
NC_017195	NC_017195.1	1052588.1
NC_017196	NC_017196.2	645657.14
NC_017200	NC_017200.1	930170.7
NC_017208	NC_017208.1	541229.1
NC_017246	NC_017246.1	703352.11
NC_017246	NC_017247.1	703352.1
NC_017249	NC_017249.1	1037409.19
NC_017275	NC_017275.1	930943.8
NC_017276	NC_017276.1	930945.9
NC_017295	NC_017295.1	863638.12
NC_017299	NC_017299.1	941968.8
NC_017300	NC_017300.1	679896.9
NC_017310	NC_017310.1	573059.14
NC_017317	NC_017317.1	945711.8
NC_017322	NC_017322.1	698936.16
NC_017325	NC_017325.1	707241.14
NC_017384	NC_017384.1	759362.11
NC_017390	NC_017390.1	644651.9
NC_017445	NC_017445.1	215689.1
NC_017449	NC_017449.1	676032.8
NC_017450	NC_017450.1	984129.7
NC_017454	NC_017454.1	663917.8
NC_017529	NC_017529.1	563174.11
NC_017530	NC_017530.1	931281.1
NC_017531	NC_017531.1	932677.9
NC_017532	NC_017532.1	996285.1
NC_017537	NC_017537.1	1030009.8
NC_017542	NC_017542.1	1052684.11
NC_017544	NC_017544.1	393133.19
NC_017545	NC_017545.1	393130.15
NC_017546	NC_017546.1	393126.11
NC_017547	NC_017547.1	393127.12
NC_017548	NC_017548.1	941193.12
NC_017549	NC_017549.1	1089456.14
NC_017551	NC_017551.1	573825.15
NC_017551	NC_017552.1	573825.14
NC_017559	NC_017559.1	859655.6
NC_017574	NC_017574.1	1031711.7
NC_017644	NC_017644.1	1033813.11
NC_017651	NC_017651.1	885276.7
NC_017664	NC_017664.1	566546.32
NC_017668	NC_017668.1	866895.8
NC_017671	NC_017671.1	1163399.15
NC_017672	NC_017672.3	997761.6
NC_017729	NC_017729.1	768494.1
NC_017743	NC_017743.1	1127744.1
NC_017765	NC_017765.1	1133850.19
NC_017770	NC_017770.1	929556.6
NC_017790	NC_017790.1	745776.7
NC_017803	NC_017803.1	134676.12
NC_017845	NC_017845.1	1166016.7
NC_017911	NC_017911.1	1037911.16
NC_017912	NC_017912.1	1126211.9
NC_017920	NC_017920.1	416344.17
NC_017920	NC_017921.1	416344.16
NC_017920	NC_017922.1	416344.18
NC_017955	NC_017955.1	477641.1
NC_017964	NC_017964.1	1036672.17
NC_017986	NC_017986.1	231023.1
NC_018000	NC_018000.1	1185652.29
NC_018002	NC_018002.1	760154.1
NC_018014	NC_018014.1	926566.8
NC_018017	NC_018017.1	756499.1
NC_018027	NC_018027.1	710421.18
NC_018028	NC_018028.1	1196835.1
NC_018065	NC_018065.1	1002809.9
NC_018068	NC_018068.1	646529.1
NC_018079	NC_018079.1	1104326.1
NC_018080	NC_018080.1	1093787.2
NC_018139	NC_018139.1	91891.35
NC_018140	NC_018140.1	91891.36
NC_018143	NC_018143.2	83332.317
NC_018150	NC_018150.2	1198627.1
NC_018177	NC_018177.1	1123519.12
NC_018266	NC_018266.1	713604.13
NC_018289	NC_018289.1	246196.59
NC_018485	NC_018485.1	187303.2
NC_018491	NC_018491.1	1217984.6
NC_018500	NC_018500.1	1218175.9
NC_018508	NC_018508.1	1217737.12
NC_018513	NC_018513.1	1009846.16
NC_018513	NC_018514.1	1009846.15
NC_018515	NC_018515.1	768704.7
NC_018525	NC_018525.1	1218933.9
