otu	Andisols	Gelisols	Vertisols	Mollisols	Inceptisols	Alfisols	Ultisols	Sand,Rock,Ice	Entisols
4360991	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0
592398	0.0	0.0	0.0	13.0	0.0	417.0	0.0	0.0	0.0
557526	0.0	0.0	0.0	18.0	0.0	5.0	0.0	0.0	0.0
2221290	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0
New.19.CleanUp.ReferenceOTU3126	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0
New.19.CleanUp.ReferenceOTU3972	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
New.19.CleanUp.ReferenceOTU8278	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
New.19.CleanUp.ReferenceOTU8353	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
New.19.CleanUp.ReferenceOTU14939	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0
New.19.CleanUp.ReferenceOTU16224	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
New.19.CleanUp.ReferenceOTU21714	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
New.19.CleanUp.ReferenceOTU26467	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
New.19.CleanUp.ReferenceOTU36857	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
New.19.CleanUp.ReferenceOTU38993	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
541328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
159911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
950606	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0
161579	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	23.0
New.24.CleanUp.ReferenceOTU12645	9.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	2.0
New.24.CleanUp.ReferenceOTU38683	24.0	31.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0
546802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4413357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
968391	12.0	0.0	0.0	506.0	0.0	0.0	0.0	0.0	0.0
2234838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
257496	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
289599	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0
3696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
519568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1132905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.28.CleanUp.ReferenceOTU355847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.28.CleanUp.ReferenceOTU551117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
254640	24.0	0.0	0.0	0.0	0.0	729.0	0.0	0.0	0.0
4380668	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
141021	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0
New.33.CleanUp.ReferenceOTU25588	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
New.36.CleanUp.ReferenceOTU478948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.36.CleanUp.ReferenceOTU938882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.36.CleanUp.ReferenceOTU1183812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.36.CleanUp.ReferenceOTU1382703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.38.CleanUp.ReferenceOTU85280	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1010113	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
4480598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
830475	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
1127819	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0
New.42.CleanUp.ReferenceOTU24973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.42.CleanUp.ReferenceOTU25644	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0
New.42.CleanUp.ReferenceOTU91488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
New.42.CleanUp.ReferenceOTU370442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
New.42.CleanUp.ReferenceOTU382938	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	61.0
141278	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
New.45.CleanUp.ReferenceOTU89862	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
29714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
960076	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0
508943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
245495	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
824855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.52.CleanUp.ReferenceOTU8235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.52.CleanUp.ReferenceOTU21326	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
New.52.CleanUp.ReferenceOTU27360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.52.CleanUp.ReferenceOTU32466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.52.CleanUp.ReferenceOTU39319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.52.CleanUp.ReferenceOTU59664	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
New.52.CleanUp.ReferenceOTU85919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.52.CleanUp.ReferenceOTU144875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.53.CleanUp.ReferenceOTU131085	0.0	0.0	0.0	379.0	0.0	0.0	0.0	0.0	0.0
New.53.CleanUp.ReferenceOTU191242	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
New.53.CleanUp.ReferenceOTU523671	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0
New.53.CleanUp.ReferenceOTU533672	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
New.53.CleanUp.ReferenceOTU826098	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.53.CleanUp.ReferenceOTU849737	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
New.53.CleanUp.ReferenceOTU971696	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
New.53.CleanUp.ReferenceOTU1121460	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
77193	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
142346	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
New.59.ReferenceOTU2700	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU5921	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU14056	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU36879	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU71157	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU167926	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU219830	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU220271	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU288665	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU294692	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU385905	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU403605	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU406055	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU454412	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU512154	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU568386	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU582834	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU602796	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU610900	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU733275	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU785688	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU792497	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU829841	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU859884	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU873917	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU874861	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU905875	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU920903	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU990105	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1055532	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1069293	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1072262	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1150846	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1221851	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1253833	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1260109	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1330879	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1385911	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1396002	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1399481	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1407014	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1481861	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1505721	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1527812	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1569744	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1677754	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
New.59.CleanUp.ReferenceOTU1691644	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
