SampleID	LONGITUDE	LATITUDE	COUNTRY	Soil_Order	Order_Name
KA1F.A.13.674540	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
KA2F.C.21.674574	-88.230357	41.841118	GAZ:United States of America	9	Mollisols
UPMain.12.13B.646827	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Biofilm.A.E1.1.C.2012.733901	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
F.1.0.660492	-155.792785	20.099442	GAZ:United States of America	4	Andisols
KA2U.B.16.674643	-88.230357	41.841114	GAZ:United States of America	9	Mollisols
SKD9.640182	-117.241111	33.193611	GAZ:United States of America	10	Alfisols
KH15.488292	-97.3895	31.0783	GAZ:United States of America	6	Vertisols
KH49.488322	-97.3895	31.0783	GAZ:United States of America	6	Vertisols
KA3U.C.14.674497	-88.230357	41.840715	GAZ:United States of America	9	Mollisols
KA2F.A.05.674534	-88.230357	41.841116	GAZ:United States of America	9	Mollisols
KA2F.B.18.674069	-88.230357	41.841124	GAZ:United States of America	9	Mollisols
KH23.488264	-97.3895	31.0783	GAZ:United States of America	6	Vertisols
KA2U.A.24.674651	-88.230357	41.841111	GAZ:United States of America	9	Mollisols
UPSub.40.41.646912	-71.37761	42.06	GAZ:United States of America	10	Alfisols
WM.4.30.660480	-155.773634	20.12228	GAZ:United States of America	4	Andisols
UPMain.53.54.646710	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Biofilm.B.DC.1.W.2012.733941	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
UPMain.37.38B.646751	-71.37761	42.06	GAZ:United States of America	10	Alfisols
UPMain.126.127B.646802	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA3F.E.16.674560	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
KA1F.A.24.674098	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
UPSub.73.74.646641	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA3F.C.18.674276	-88.230357	41.840718	GAZ:United States of America	9	Mollisols
H.4.30.660594	-155.782721	20.108034	GAZ:United States of America	4	Andisols
KA2F.E.18.674488	-88.230357	41.841125	GAZ:United States of America	9	Mollisols
KA2F.B.01.674051	-88.230357	41.841124	GAZ:United States of America	9	Mollisols
KA3F.B.15.674562	-88.230357	41.840725	GAZ:United States of America	9	Mollisols
PP.11.12B.646695	-71.3412	42.30844	GAZ:United States of America	10	Alfisols
MW.1.30.660579	-155.772085	20.122801	GAZ:United States of America	4	Andisols
KA1U.A.17.674498	-88.230357	41.841522	GAZ:United States of America	9	Mollisols
CC1.1.378618	-94.598347	46.74528	GAZ:United States of America	12	Entisols
SKD2.640178	-117.241111	33.193611	GAZ:United States of America	10	Alfisols
UPMain.14.15B.646878	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA1F.A.11.674218	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
KA2F.A.08.674434	-88.230357	41.841116	GAZ:United States of America	9	Mollisols
C.4.30.660531	-155.84473	20.091661	GAZ:United States of America	4	Andisols
KH8.488301	-97.3895	31.0783	GAZ:United States of America	6	Vertisols
KA1F.A.01.674692	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
KA2F.E.17.674613	-88.230357	41.841125	GAZ:United States of America	9	Mollisols
E.1.0.660489	-155.805003	20.098048	GAZ:United States of America	4	Andisols
